live-and-let-live,film,live and let live,2021.03,Dance Film,6min,Director / Chinematograher /  Lighting / Colorlist,Project : sta21 & 筑波大学ダンス部
hyakuninkimono,film,百人きもの KAGAI ~雅~ - ショートフィルム,2022.11,Movie,10min 43sec,Director / Cinematographer / Editor,Client work : 筑波山華やぎプロジェクト
express,film,EXPRESS 筑波大学ダンス部,2020.01,Documentary Movie,15min 10sec / 11min 5sec / 15min 16sec,Director / Cinematographer / Editor,Project : sta21
rush,film,迸る,2020.12,Dance Film,5min 22sec,Chinematograher / Editor,Client work : 筑波大学ダンス部
important-things,film,大切なこと,2020.12,Dance Film,5min 23sec,Chinematograher / Editor,Client work : 筑波大学ダンス部
who,film,何者,2020.12,Dance Film,4min 35sec,Chinematograher / Editor,Client work : 筑波大学ダンス部
dance-ut-teaser,film,"迸る / ""何者"" / ""大切なこと"" Dance film Teaser",2020.12,Teaser Movie,35sec,Director / Chinematograher / Editor,Project : 筑波大学ダンス部
a-retina-grabs-a-twinkle,film,網膜は光を掴む,2022.05,Film,4min 40sec,Director,
my-wavering-outline,film,わたしのゆれるりんかく,2024.12,Film,1min 30sec,Director,
dark-is-border,film,境界としての暗闇,2023.12,Film,1min,Director,
for-rembrandt-ray,film,レンブラント光線の彼方,2021.12,Film,1min,Director,
life-is-coming-back,film,Life is coming back,2020.12,Film,16sec,Director,Personal Work
gfest-guide,film,GFEST ガイドムービー,2022.01,Guide Movie,,Cinematographer,Client work : GFEST by University of Tsukuba
snow-day,film,融和する色彩,2022.01,Film,1min 17sec,Director,Personal Work
on-a-gloomy-morning,film,暗澹の朝に,2022.05,Film,1min 6sec,Director,
konjikihime,film,金色姫物語 ~ダンスによる再創造~,2022.01,Live,18min 57sec,Director / Cinematographer / Editor,Client work : 筑波山華やぎプロジェクト
hyakuninkimono-sns,film,百人きもの KAGAI ~雅~ - ダイジェスト,2022.11,Digest Movie,1min 30sec,Director / Cinematographer / Editor,Client work : 筑波山華やぎプロジェクト
anzenkaihatsu-making,film,MVメイキング映像「安全開発ソング」,2020.11,Making Moive,2min 18sec,Director / Editor,Client Work : 回せ！グルーヴ開発部
mawase-making,film,MVメイキング映像「回せ！」,2020.04,Making Moive,4min 35sec,Director / Cinematographer / Editor,Client Work : 回せ！グルーヴ開発
yuragi,film,ゆらぎ -ダイジェスト,2019.11,Digest Movie,1min 45sec,Director / Cinematographer / Editor,Client Work : TParty
tparty-launch,film,Launch Party -ダイジェスト,2019.06,Digest Movie,6min 38sec,Director / Cinematographer / Editor,Client Work : TParty
tsukuba-collection-2021no1,film,Tsukuba Collection 2021 no.1 KENT KISHIMA,2021.01,Promotion film,30sec,Director,
onk-vlog,film,onk VLog,2022-2023,Vlog,,Director,Personal Work
