axy-vis,Axy Visualizer, 2023.03, Visualization, Project : VisLab
umidori,Umidori, 2021.02, Visualization, Project : VisLab
cvv, CVViewer, 2022.08, WebApplication, Personal Work
emavis, Emavis, 2022.12, Visualization, 
onui, onUI, 2023.01, Liblary,
location-data-generator, Location Data Generator, 2023.02, WebApplication
tra-js, Tra.js, 2022.11, JavaScript Liblary, Personal Work
fishue, Fishue, 2022.12, Web Application, Personal Work
color-selection,COLOR SELECTION, 2019.10, Web Application, Personal Work
umidori-intelligence,Umidori Intelligence, 2021.06, Artifical Intelligence, Personal Work
task-management-tool,タスク管理ツール DO3, 2019.12, Web Application, Personal Work
gohan-search,ごっっはにゃさん, 2019.08, Web Application, Project : タピオカオムライス from enPit2019
visual-k,Visual K, 2021.02, Visualization, Project : お母さんの肉じゃが from enPit2019
megeilt-tweet-system,ツイート共有システム, 2018.05, Installation System, Project
