0,live-and-let-live,video,live and let live,2021.03,Dance Film,6min,Director / Chinematograher /  Lighting / Colorlist,Project : sta21 & 筑波大学ダンス部
1,hyakuninkimono-sns,video,百人きもの KAGAI ~雅~ - ダイジェスト,2022.11,Digest Movie,1min 30sec,Director / Cinematographer / Editor,Client work : 筑波山華やぎプロジェクト
2,express,video,EXPRESS 筑波大学ダンス部,2020.01,Documentary Movie,15min 10sec / 11min 5sec / 15min 16sec,Director / Cinematographer / Editor,Project : sta21
3,rush,video,迸る,2020.12,Dance Film,5min 22sec,Chinematograher / Editor,Client work : 筑波大学ダンス部
4,important-things,video,大切なこと,2020.12,Dance Film,5min 23sec,Chinematograher / Editor,Client work : 筑波大学ダンス部
5,who,video,何者,2020.12,Dance Film,4min 35sec,Chinematograher / Editor,Client work : 筑波大学ダンス部
6,dance-ut-teaser,video,"迸る / ""何者"" / ""大切なこと"" Dance Video Teaser",2020.12,Teaser Movie,35sec,Director / Chinematograher / Editor,Project : 筑波大学ダンス部
7,konjikihime,video,金色姫物語 ~ダンスによる再創造~,2022.01,Live,18min 57sec,Director / Cinematographer / Editor,Client work : 筑波山華やぎプロジェクト
8,onk-vlog,video,onk VLog,2022-2023,Vlog,,Director,Personal Work
9,life-is-coming-back,video,Life is coming back,2020.12,Film,16sec,Director,Personal Work
10,for-rembrandt-ray,video,レンブラント光線の彼方,2021.12,Film,1min,Director,
11,snow-day,video,融和する色彩,2022.01,Film,1min 17sec,Director,Personal Work
12,a-retina-grabs-a-twinkle,video,網膜は光を掴む,2022.05,Film,4min 40sec,Director,
13,on-a-gloomy-morning,video,暗澹の朝に,2022.05,Film,1min 6sec,Director,
14,hyakuninkimono,video,百人きもの KAGAI ~雅~ - ショートフィルム,2022.11,Movie,10min 43sec,Director / Cinematographer / Editor,Client work : 筑波山華やぎプロジェクト
15,anzenkaihatsu-making,video,MVメイキング映像「安全開発ソング」,2020.11,Making Moive,2min 18sec,Director / Editor,Client Work : 回せ！グルーヴ開発部
16,mawase-making,video,MVメイキング映像「回せ！」,2020.04,Making Moive,4min 35sec,Director / Cinematographer / Editor,Client Work : 回せ！グルーヴ開発
17,yuragi,video,ゆらぎ -ダイジェスト,2019.11,Digest Movie,1min 45sec,Director / Cinematographer / Editor,Client Work : TParty
18,tparty-launch,video,Launch Party -ダイジェスト,2019.06,Digest Movie,6min 38sec,Director / Cinematographer / Editor,Client Work : TParty
19,tsukuba-collection-2021no1,video,Tsukuba Collection 2021 no.1 KENT KISHIMA,2021.01,Promotion Video,30sec,Director,
20,gfest-guide,video,GFEST ガイドムービー,2022.01,Guide Movie,,Cinematographer,Client work : GFEST by University of Tsukuba
21,shape-of-monologue-stacked,media-art,ひとりごとのかたち / 積層体について,2023.01,Media Art,,,Personal Work
22,in-the-black-and-eternal,media-art,暗転と永遠の中で。,2019.12,Video Installation,2min 10sec,,Personal Work
23,drawing_with_particles,media-art,Drawing with particles,2018.06,Media Art,,,Personal Work
24,lost-anima,media-art,アニマの消失,2019.05,Media Art,,,Personal Work
25,shape-of-monologue-aggregate,media-art,ひとりごとのかたち / 集合体について,2019.04,Media Art,,,Personal Work
26,fruits-cut,media-art,FRUITS CUT!,2018.12,Game,,,Project
27,kalfos-box,media-art,Kalfos Box,2018.01,Media Art,,,Personal Work
28,silence,media-art,沈黙,2017.01,Media Art,,,Personal Work
29,umidori,software,Umidori,2021.02,Visualization,,,Project : VisLab
30,umidori2,software,Umidori2,2023.03,Visualization,,,Project : VisLab
31,axy-vis,software,Axy Visualizer,2023.03,Visualization,,,Project : VisLab
32,cvv,software,CVViewer,2022.08,Websoftwarelication,,,Personal Work
33,tra-js,software,Tra.js,2022.11,JavaScript Liblary,,,Personal Work
34,umidori-intelligence,software,Umidori Intelligence,2021.06,Artifical Intelligence,,,Personal Work
35,cube,software,CUBE,2018.12,Game,,,Project
36,fishue,software,Fishue,2022.12,Web softwarelication,,,Personal Work
37,color-selection,software,COLOR SELECTION,2019.01,Web softwarelication,,,Personal Work
38,emavis,software,Emavis,2022.12,Visualization,,,
39,location-data-generator,software,Location Data Generator,2023.02,Websoftwarelication,,,
40,megeilt-tweet-system,software,ツイート共有システム,2018.05,Installation System,,,Project
41,visual-k,software,Visual K,2021.02,Visualization,,,Project : お母さんの肉じゃが from enPit2019
42,task-management-tool,software,タスク管理ツール DO3,2019.12,Web softwarelication,,,Personal Work
43,gohan-search,software,ごっっはにゃさん,2019.08,Web softwarelication,,,Project : タピオカオムライス from enPit2019
44,onui,software,onUI,2023.01,Liblary,,,
